mode,lhs,desc,first_seen,last_used,use_count,source,tracked
n,<leader>Tvc,builtin.commands,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:100,y
n,<Plug>(comment_toggle_linewise_current),Comment toggle current line,2026-05-17T19:52:48Z,,0,...n/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua:103,n
n,ÑS,tmux run harpoon tests 1,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/harpoon.lua:130,y
n,<backspace><a-p>P,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:278,y
n,<leader>TvC,builtin.colorscheme,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:101,y
n,<leader>tlws,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:182,y
n,<leader>gl0<space>,git log current file <0Gclog>,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:65,y
n,<backspace><a-r>P,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:279,y
n,<leader>Tc,builtin.command_history,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:102,y
x,n,,2026-05-17T19:52:48Z,2026-05-17T22:28:41Z,41,/home/kanon/.config/nvim/lua/keybindings/init.lua:62,y
n,<F2>,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:76,y
n,<backspace>P.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:281,y
n,<leader>Ts,builtin.search_history,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:103,y
n,<leader>tld,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:181,y
n,g0,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:64,y
n,<backspace><a-p>P.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:282,y
n,<leader>tb,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:107,y
x,e,,2026-05-17T19:52:48Z,2026-05-17T20:26:34Z,21,/home/kanon/.config/nvim/lua/keybindings/init.lua:61,y
i,<M-f>,telescope|results_scrolling_left,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace><a-r>P.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:283,y
n,<leader>tn,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:109,y
n,<leader>tlD,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:180,y
n,<leader>g0M,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:61,y
n,<backspace>p,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:285,y
o,n,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:59,y
n,<backspace><a-p>A.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:134,y
n,<a-a>,Projectionist alternates (edit),2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:128,y
n,<backspace><a-p>p,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:286,y
n,<a-e>,Projectionist alternates (split),2026-05-17T19:52:48Z,2026-05-17T20:22:59Z,1,/home/kanon/.config/nvim/lua/keybindings/harpoon.lua:48,y
n,<leader>tli,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:179,y
n,<a-A>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:130,y
n,<backspace><a-r>p,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:287,y
n,<leader>g0m,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:60,y
n,<backspace><a-p>RU,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:206,y
