mode,lhs,desc,first_seen,last_used,use_count,source,tracked
n,<M-q>,telescope|send_selected_to_qflist + open_qflist,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,i,Install a plugin,2026-05-17T19:52:48Z,2026-05-17T22:30:51Z,15,/home/kanon/.config/nvim/lua/keybindings/init.lua:46,y
n,K,Hover,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<leader><leader>r,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:412,y
n,<leader>Ta,builtin.autocommands,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:93,y
n,Sa,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/ai.lua:22,y
n,<backspace>.vk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:330,y
i,<C-r><C-f>,telescope|insert_original_cfile,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<Up>,telescope|move_selection_previous,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
i,<C-/>,telescope|which_key,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
i,<C-_>,telescope|which_key,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,q,Close,2026-05-17T20:14:35Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<localleader>t,Open terminal in plugin dir,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<leader><leader>P,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:432,y
n,<backspace>.vh,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:332,y
n,<S-Down>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:438,y
n,<leader>mP,Markdown preview (light),2026-05-17T19:59:39Z,,0,/home/kanon/.config/nvim/lua/plugins/markdown.lua:51,y
n,<backspace>ba,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:37,y
n,<backspace>.vK,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:333,y
n,d,"telescopej|{""linedefined"":87,""source"":""@/home/kanon/.config/nvim/lua/plugins/telescope.lua""}",2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,gwC,git worktree create with slash,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:165,y
n,u,"telescopej|{""linedefined"":92,""source"":""@/home/kanon/.config/nvim/lua/plugins/telescope.lua""}",2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<M-k>,telescope|results_scrolling_right,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
x,c,Check for updates and show the log (git fetch),2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<leader>.br,open README.md,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:387,y
i,<PageDown>,telescope|results_scrolling_down,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>.vl,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:335,y
n,<leader>mV,Markdown preview synced (light),2026-05-17T19:59:39Z,,0,/home/kanon/.config/nvim/lua/plugins/markdown.lua:33,y
n,<leader>gst,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:47,y
i,<c-n>,telescope|move_selection_next,2026-05-17T20:22:20Z,2026-05-17T20:26:04Z,2,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>.pi,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:315,y
i,<C-l>,telescope|complete_tag,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
x,<leader>lb,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:241,y
n,<LeftMouse>,telescope|mouse_click,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,n
n,<backspace>.vp,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:337,y
i,<C-k>,telescope|preview_scrolling_right,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
i,<LeftMouse>,telescope|mouse_click,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,n
n,C,Check for updates and show the log (git fetch),2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<backspace>.vf,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:338,y
n,U,Update plugins. This will also update the lockfile,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
v,Sa,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/ai.lua:22,y
n,<backspace>l.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:45,y
i,<C-S-]>,[copilot] next suggestion,2026-05-17T19:59:40Z,,0,...share/nvim/lazy/copilot.lua/lua/copilot/keymaps/init.lua:39,y
,<leader>w,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:235,y
i,<c-d>,"telescopej|{""linedefined"":64,""source"":""@/home/kanon/.config/nvim/lua/plugins/telescope.lua""}",2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace><a-p>l.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:46,y
n,<backspace>.A,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:340,y
i,<a-Tab>,telescope|toggle_preview,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>.su,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:350,y
n,<backspace><a-r>l.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:47,y
n,<backspace>.xm,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:341,y
o,<leader>lw,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:238,y
n,<M-->,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:59,y
n,<backspace>b.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:49,y
n,]],Jump to next section,2026-05-17T19:59:39Z,,0,...are/bob/v0.11.5/share/nvim/runtime/ftplugin/markdown.lua:5,y
x,<leader>lw,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:239,y
n,Sdla,open launch.json,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/dap.lua:3,y
n,<backspace><a-p>b.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:50,y
n,<C-q>,telescope|send_to_qflist + open_qflist,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
o,<leader>lb,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:240,y
n,gcA,Comment insert end of line,2026-05-17T19:52:48Z,,0,....local/share/nvim/lazy/Comment.nvim/lua/Comment/init.lua:131,y
n,<backspace><a-r>b.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:51,y
n,<leader>ls,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:66,y
i,<Tab>,telescope|toggle_selection + move_selection_worse,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<PageDown>,telescope|results_scrolling_down,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>T.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:53,y
n,<leader>lS,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:67,y
o,<leader>lj,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:242,y
n,cj,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:42,y
n,<backspace><a-p>T.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:54,y
n,<leader>la,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:70,y
n,M,telescope|move_to_middle,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,gww,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:163,y
i,>,,2026-05-17T19:59:39Z,,0,...im/lazy/nvim-ts-autotag/lua/nvim-ts-autotag/internal.lua:473,y
v,<leader>la,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:71,y
i,<c-p>,telescope|move_selection_previous,2026-05-17T20:22:20Z,2026-05-17T20:25:59Z,4,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>u,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:225,y
n,<backspace>Tt,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:57,y
n,<leader>lh,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:73,y
v,sm,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:256,y
v,ga,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/ai.lua:23,y
n,<backspace><a-p>Tt,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:58,y
n,<leader>lr,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:75,y
i,<C-c>,telescope|close,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,gwc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:162,y
n,<backspace><a-r>Tt,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:59,y
i,<c-space>,telescope|to_fuzzy_refine,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,gl,Show recent updates,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
i,<esc>,telescope|close,2026-05-17T20:22:20Z,2026-05-17T20:25:47Z,2,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<backspace>Tr,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:61,y
n,gi,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:78,y
n,<leader>gsht,git show → telescope,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:188,y
n,gY,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:58,y
n,<backspace><a-p>Tr,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:62,y
n,<leader>lci,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:80,y
n,gs,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:44,y
n,<C-L>,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<backspace><a-r>Tr,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:63,y
n,<leader>lco,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:81,y
n,<backspace>Rulob,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:225,y
n,<leader>gdq,Gdiffsplit @~_,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:42,y
n,<backspace>sk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:65,y
n,<leader>lcR,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:87,y
n,<leader>.vD,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:206,y
n,<leader>gdD,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:41,y
n,<backspace><a-p>sk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:66,y
n,<leader>lcr,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:88,y
n,<leader>tdl,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:157,y
n,<backspace>.z,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:311,y
n,<backspace><a-r>sk,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:67,y
n,<leader>lcd,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:89,y
n,SBd,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/Sbindings.lua:64,y
n,<leader>gdd,Gdiffsplit @~,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:40,y
n,<backspace>f.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:69,y
n,<leader>lws,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:92,y
n,sf,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<backspace>sN,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:109,y
n,<backspace><a-p>f.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:70,y
n,<leader>lwf,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:93,y
n,sy,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<leader>gd<space>,Gdiffsplit @~_,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:39,y
n,<leader>gtC,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:187,y
n,<leader>lwl,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:94,y
n,Sc,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,gR,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:57,y
n,SC,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<leader>lwr,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:95,y
n,St,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<c-n>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:172,y
n,<leader>gts,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:189,y
n,go,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:99,y
n,s,which-key-trigger,2026-05-17T19:52:48Z,2026-05-17T20:35:17Z,5,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
v,<leader>gdh,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:37,y
n,<leader>gtS,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:190,y
n,S,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,ñp,Overseer QuickActions,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:64,y
n,<backspace>.zp,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:314,y
n,<leader>tp,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:192,y
n,<leader>oo,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:106,y
n,"<leader>,fA",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:223,y
n,ña,Overseer QuickActions,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:63,y
n,<c-s-s>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:193,y
n,<c-s>,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:107,y
n,gd,,2026-05-17T20:22:12Z,2026-05-17T20:26:30Z,1,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:45,y
n,<leader>g ,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:35,y
n,<backspace><a-r>vl,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:79,y
n,<leader>oO,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:108,y
n,ñv,open most recent task output,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:109,y
n,ñW,Overseer Unwatch,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:62,y
n,<backspace>va,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:81,y
n,<leader>owo,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:109,y
n,<leader>gshq,git show → qf,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:151,y
n,<leader>gshq<space>,git show <ref> → qf,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:155,y
n,<backspace><a-p>va,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:82,y
n,<leader>on,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:110,y
n,"<leader>,fv",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:221,y
n,<leader>gsht<space>,git show <ref> → telescope,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:192,y
n,<backspace><a-r>va,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:83,y
n,<leader>ol,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:111,y
n,"<leader>t,h",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:147,y
n,gb,Comment toggle blockwise,2026-05-17T19:52:48Z,,0,....local/share/nvim/lazy/Comment.nvim/lua/Comment/init.lua:101,y
o,g,which-key-trigger,2026-05-17T20:22:10Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,<leader>oq,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:112,y
o,[,which-key-trigger,2026-05-17T20:22:10Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,gcc,Comment toggle current line,2026-05-17T19:52:48Z,,0,....local/share/nvim/lazy/Comment.nvim/lua/Comment/init.lua:103,n
n,<backspace><a-p>vt,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:86,y
n,"<leader>,La",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:276,y
o,<Space>,which-key-trigger,2026-05-17T20:22:10Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
x,gc,Comment toggle linewise (visual),2026-05-17T19:52:48Z,2026-05-17T20:22:32Z,1,....local/share/nvim/lazy/Comment.nvim/lua/Comment/init.lua:113,y
x,ln,LSP selection range,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:116,y
n,"<leader>,Ll",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:277,y
n,gZ,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:50,y
x,gb,Comment toggle blockwise (visual),2026-05-17T19:52:48Z,,0,....local/share/nvim/lazy/Comment.nvim/lua/Comment/init.lua:119,y
n,<backspace>vc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:89,y
n,"<leader>,Lp",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:278,y
n,Sb,Open DBUI,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/Sbindings.lua:63,y
n,gco,Comment insert below,2026-05-17T19:52:48Z,,0,....local/share/nvim/lazy/Comment.nvim/lua/Comment/init.lua:129,y
n,<backspace><a-p>vc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:90,y
n,"<leader>,Lr",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:279,y
,<leader>j,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:233,y
n,SCn,CodyTaskNext,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/Sbindings.lua:72,y
n,<backspace>.st,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:346,y
n,<S-Up>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:439,y
n,ñbd,Overseer Delete Bundle,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:75,y
n,ñxt,Overseer Stop,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:60,y
n,<backspace>.a,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:347,y
n,<S-Right>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:440,y
n,<a-b>,Projectionist types -> files,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:132,y
n,StS,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/Sbindings.lua:59,y
n,<backspace>.aa,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:348,y
n,<S-Left>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:441,y
n,ñbl,Overseer Load Bundle,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:74,y
n,ñxr,Overseer Restart,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:59,y
n,<backspace>.aw,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:349,y
n,"<leader>,lS",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:284,y
n,SB,which-key-trigger,2026-05-17T19:52:48Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,ñr,Overseer Run,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/config/plugins/overseer.lua:58,y
v,<cr>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:454,y
n,"<leader>,ll",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:285,y
n,<Leader>oa,org agenda,2026-05-17T19:59:39Z,,0,...m/lazy/orgmode/lua/orgmode/config/mappings/map_entry.lua:117,y
n,Sdb,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/dap.lua:16,y
n,<backspace>.sw,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:351,y
n,"<leader>,ni",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:287,y
i,<a-->,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:60,y
v,<s-cr>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:455,y
n,<backspace>.sng,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:352,y
n,"<leader>,nl",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:288,y
n,<C-Space>,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:65,y
n,<c-l><c-l>,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:471,y
n,<backspace>.snl,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:353,y
n,"<leader>,Ma",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:290,y
n,<leader>.sb,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:207,y
n,"<leader>,C",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/init.lua:474,y
